<Source>10Node0e</Source>
<Destination>11Node1e</Destination>
<Roads>
Road0e; 10Node0e; 10Node1e; 17
Road1e; 10Node0e; 10Node1e; 77
Road2e; 10Node0e; 10Node2e; 43
Road3e; 10Node0e; 10Node2e; 49
Road4e; 10Node0e; 10Node4e; 50
Road5e; 10Node0e; 10Node5e; 40
Road6e; 10Node0e; 10Node6e; 72
Road7e; 10Node0e; 10Node6e; 26
Road8e; 10Node0e; 10Node7e; 43
Road9e; 10Node0e; 10Node7e; 47
Road10e; 10Node0e; 10Node8e; 77
Road11e; 10Node0e; 10Node8e; 52
Road12e; 10Node0e; 10Node9e; 17
Road13e; 10Node1e; 10Node3e; 68
Road14e; 10Node1e; 10Node4e; 63
Road15e; 10Node1e; 10Node5e; 65
Road16e; 10Node1e; 10Node5e; 64
Road17e; 10Node1e; 10Node6e; 70
Road18e; 10Node1e; 10Node7e; 42
Road19e; 10Node1e; 10Node8e; 77
Road20e; 10Node1e; 10Node8e; 21
Road21e; 10Node1e; 10Node9e; 28
Road22e; 10Node2e; 10Node3e; 9
Road23e; 10Node2e; 10Node4e; 76
Road24e; 10Node2e; 10Node7e; 20
Road25e; 10Node2e; 10Node9e; 75
Road26e; 10Node3e; 10Node5e; 31
Road27e; 10Node3e; 10Node7e; 48
Road28e; 10Node3e; 10Node7e; 77
Road29e; 10Node3e; 10Node8e; 67
Road30e; 10Node4e; 10Node5e; 26
Road31e; 10Node4e; 10Node5e; 65
Road32e; 10Node4e; 10Node6e; 66
Road33e; 10Node4e; 10Node6e; 49
Road34e; 10Node4e; 10Node7e; 34
Road35e; 10Node4e; 10Node8e; 55
Road36e; 10Node5e; 10Node6e; 44
Road37e; 10Node5e; 10Node6e; 38
Road38e; 10Node5e; 10Node7e; 16
Road39e; 10Node5e; 10Node9e; 24
Road40e; 10Node5e; 10Node9e; 39
Road41e; 10Node6e; 10Node8e; 35
Road42e; 10Node6e; 10Node9e; 58
Road43e; 10Node6e; 10Node9e; 6
Road44e; 10Node7e; 10Node8e; 25
Road45e; 10Node7e; 10Node9e; 30
Road46e; 10Node7e; 10Node9e; 5
Road47e; 10Node8e; 10Node9e; 60
Road48e; 5Node0e; 5Node1e; 57
Road49e; 5Node0e; 5Node2e; 49
Road50e; 5Node0e; 5Node2e; 16
Road51e; 5Node0e; 5Node2e; 33
Road52e; 5Node0e; 5Node3e; 7
Road53e; 5Node0e; 5Node3e; 64
Road54e; 5Node0e; 5Node4e; 68
Road55e; 5Node0e; 5Node4e; 52
Road56e; 5Node0e; 5Node4e; 12
Road57e; 5Node0e; 5Node4e; 9
Road58e; 5Node1e; 5Node2e; 57
Road59e; 5Node1e; 5Node2e; 49
Road60e; 5Node1e; 5Node2e; 33
Road61e; 5Node1e; 5Node2e; 5
Road62e; 5Node1e; 5Node3e; 32
Road63e; 5Node1e; 5Node4e; 24
Road64e; 5Node1e; 5Node4e; 70
Road65e; 5Node1e; 5Node4e; 75
Road66e; 5Node2e; 5Node4e; 10
Road67e; 5Node2e; 5Node4e; 10
Road68e; 5Node2e; 5Node4e; 53
Road69e; 5Node2e; 5Node4e; 5
Road70e; 5Node3e; 5Node4e; 55
Road71e; 5Node3e; 5Node4e; 22
Road72e; 5Node3e; 5Node4e; 24
Road73e; 11Node0e; 11Node1e; 65
Road74e; 11Node0e; 11Node2e; 8
Road75e; 11Node0e; 11Node3e; 61
Road76e; 11Node0e; 11Node6e; 45
Road77e; 11Node0e; 11Node8e; 76
Road78e; 11Node0e; 11Node9e; 46
Road79e; 11Node1e; 11Node2e; 5
Road80e; 11Node1e; 11Node7e; 52
Road81e; 11Node1e; 11Node9e; 36
Road82e; 11Node1e; 11Node10e; 16
Road83e; 11Node2e; 11Node3e; 18
Road84e; 11Node2e; 11Node4e; 68
Road85e; 11Node2e; 11Node5e; 17
Road86e; 11Node2e; 11Node6e; 8
Road87e; 11Node2e; 11Node9e; 74
Road88e; 11Node3e; 11Node4e; 30
Road89e; 11Node3e; 11Node5e; 39
Road90e; 11Node3e; 11Node6e; 39
Road91e; 11Node3e; 11Node7e; 43
Road92e; 11Node3e; 11Node9e; 33
Road93e; 11Node3e; 11Node10e; 61
Road94e; 11Node4e; 11Node6e; 73
Road95e; 11Node4e; 11Node7e; 5
Road96e; 11Node5e; 11Node6e; 32
Road97e; 11Node5e; 11Node8e; 17
Road98e; 11Node5e; 11Node10e; 12
Road99e; 11Node6e; 11Node7e; 48
Road100e; 11Node6e; 11Node8e; 36
Road101e; 11Node6e; 11Node10e; 45
Road102e; 11Node7e; 11Node8e; 49
Road103e; 11Node7e; 11Node9e; 76
Road104e; 11Node8e; 11Node9e; 66
Road105e; 11Node9e; 11Node10e; 78
Road106e; 4Node0e; 4Node2e; 76
Road107e; 4Node0e; 4Node2e; 13
Road108e; 4Node0e; 4Node2e; 31
Road109e; 4Node0e; 4Node2e; 35
Road110e; 4Node0e; 4Node2e; 22
Road111e; 4Node0e; 4Node3e; 5
Road112e; 4Node0e; 4Node3e; 63
Road113e; 4Node1e; 4Node2e; 41
Road114e; 4Node1e; 4Node2e; 57
Road115e; 4Node1e; 4Node2e; 55
Road116e; 4Node1e; 4Node2e; 5
Road117e; 4Node1e; 4Node2e; 67
Road118e; 4Node1e; 4Node3e; 37
Road119e; 4Node1e; 4Node3e; 11
Road120e; 4Node2e; 4Node3e; 37
Road121e; 4Node2e; 4Node3e; 47
Road122e; 4Node2e; 4Node3e; 35
Road123e; 9Node0e; 9Node1e; 6
Road124e; 9Node0e; 9Node2e; 26
Road125e; 9Node0e; 9Node3e; 8
Road126e; 9Node0e; 9Node4e; 76
Road127e; 9Node0e; 9Node4e; 69
Road128e; 9Node0e; 9Node5e; 61
Road129e; 9Node0e; 9Node5e; 14
Road130e; 9Node0e; 9Node6e; 56
Road131e; 9Node0e; 9Node7e; 23
Road132e; 9Node0e; 9Node7e; 17
Road133e; 9Node0e; 9Node8e; 77
Road134e; 9Node1e; 9Node4e; 35
Road135e; 9Node1e; 9Node5e; 7
Road136e; 9Node1e; 9Node5e; 75
Road137e; 9Node1e; 9Node6e; 20
Road138e; 9Node1e; 9Node7e; 35
Road139e; 9Node1e; 9Node8e; 46
Road140e; 9Node1e; 9Node8e; 38
Road141e; 9Node2e; 9Node3e; 47
Road142e; 9Node2e; 9Node5e; 14
Road143e; 9Node2e; 9Node5e; 69
Road144e; 9Node2e; 9Node6e; 29
Road145e; 9Node2e; 9Node7e; 11
Road146e; 9Node2e; 9Node7e; 65
Road147e; 9Node2e; 9Node8e; 46
Road148e; 9Node2e; 9Node8e; 38
Road149e; 9Node3e; 9Node5e; 18
Road150e; 9Node3e; 9Node6e; 17
Road151e; 9Node3e; 9Node6e; 39
Road152e; 9Node3e; 9Node7e; 28
Road153e; 9Node3e; 9Node8e; 50
Road154e; 9Node3e; 9Node8e; 40
Road155e; 9Node4e; 9Node6e; 39
Road156e; 9Node4e; 9Node7e; 46
Road157e; 9Node4e; 9Node8e; 61
Road158e; 9Node5e; 9Node7e; 11
Road159e; 9Node5e; 9Node7e; 14
Road160e; 9Node5e; 9Node8e; 24
Road161e; 9Node5e; 9Node8e; 8
Road162e; 9Node6e; 9Node7e; 47
Road163e; 9Node6e; 9Node8e; 24
Road164e; 9Node6e; 9Node8e; 40
Road165e; 9Node7e; 9Node8e; 75
Road166e; 10Node5e; 5Node2e; 61
Road167e; 10Node7e; 4Node0e; 9
Road168e; 5Node2e; 11Node5e; 68
Road169e; 5Node2e; 11Node10e; 69
Road170e; 5Node0e; 9Node6e; 69
Road171e; 4Node3e; 9Node7e; 45
</Roads>
<Predictions>
<Day>
Road0e; low
Road1e; normal
Road2e; heavy
Road3e; heavy
Road4e; heavy
Road5e; normal
Road6e; normal
Road7e; low
Road8e; low
Road9e; normal
Road10e; normal
Road11e; normal
Road12e; low
Road13e; normal
Road14e; normal
Road15e; normal
Road16e; low
Road17e; heavy
Road18e; low
Road19e; low
Road20e; normal
Road21e; low
Road22e; low
Road23e; normal
Road24e; normal
Road25e; low
Road26e; normal
Road27e; low
Road28e; heavy
Road29e; heavy
Road30e; low
Road31e; normal
Road32e; normal
Road33e; heavy
Road34e; heavy
Road35e; normal
Road36e; low
Road37e; low
Road38e; heavy
Road39e; low
Road40e; low
Road41e; normal
Road42e; low
Road43e; heavy
Road44e; low
Road45e; normal
Road46e; normal
Road47e; normal
Road48e; low
Road49e; heavy
Road50e; normal
Road51e; heavy
Road52e; normal
Road53e; normal
Road54e; low
Road55e; heavy
Road56e; normal
Road57e; heavy
Road58e; normal
Road59e; normal
Road60e; normal
Road61e; low
Road62e; normal
Road63e; low
Road64e; normal
Road65e; normal
Road66e; normal
Road67e; low
Road68e; heavy
Road69e; normal
Road70e; low
Road71e; normal
Road72e; normal
Road73e; normal
Road74e; low
Road75e; normal
Road76e; normal
Road77e; normal
Road78e; normal
Road79e; heavy
Road80e; low
Road81e; low
Road82e; normal
Road83e; normal
Road84e; normal
Road85e; normal
Road86e; low
Road87e; normal
Road88e; low
Road89e; normal
Road90e; low
Road91e; low
Road92e; low
Road93e; normal
Road94e; normal
Road95e; normal
Road96e; low
Road97e; normal
Road98e; normal
Road99e; low
Road100e; heavy
Road101e; normal
Road102e; normal
Road103e; normal
Road104e; normal
Road105e; normal
Road106e; normal
Road107e; normal
Road108e; normal
Road109e; normal
Road110e; normal
Road111e; low
Road112e; normal
Road113e; normal
Road114e; low
Road115e; normal
Road116e; heavy
Road117e; normal
Road118e; low
Road119e; normal
Road120e; low
Road121e; normal
Road122e; normal
Road123e; low
Road124e; low
Road125e; heavy
Road126e; normal
Road127e; low
Road128e; heavy
Road129e; heavy
Road130e; normal
Road131e; normal
Road132e; heavy
Road133e; normal
Road134e; low
Road135e; low
Road136e; low
Road137e; normal
Road138e; low
Road139e; low
Road140e; heavy
Road141e; normal
Road142e; normal
Road143e; normal
Road144e; normal
Road145e; low
Road146e; normal
Road147e; normal
Road148e; normal
Road149e; low
Road150e; heavy
Road151e; normal
Road152e; low
Road153e; heavy
Road154e; low
Road155e; heavy
Road156e; normal
Road157e; low
Road158e; low
Road159e; low
Road160e; normal
Road161e; low
Road162e; low
Road163e; normal
Road164e; low
Road165e; low
Road166e; normal
Road167e; normal
Road168e; heavy
Road169e; normal
Road170e; low
Road171e; normal
</Day>
<Day>
Road0e; low
Road1e; normal
Road2e; heavy
Road3e; low
Road4e; normal
Road5e; normal
